"","zero_inflated","hurdle","poisson"
"count_(Intercept)",-4.92063105126817,-7.8223255013608,-7.51940003950956
"count_armACTIVE",-0.386790428624858,-0.30673559064391,-0.389345420890957
"count_countryB",-0.466629409791087,-1.1963183490823,-0.986047427373314
"count_countryC",-0.099463975483519,-0.950211591199197,-0.991921023701289
"count_countryD",-1.32641946087208,-1.50209421353065,-1.45769238233042
"count_countryE",0.107049454154064,-0.208654945577502,-0.384984947121498
"count_countryF",0.332255755076196,-0.139913631285424,0.0994384413351142
"count_countryG",0.217090020860461,-0.526217904817979,-0.575637294979478
"count_countryH",-1.34705465275216,-1.69206498724547,-1.66191743832942
"count_countryI",-0.292070134009052,-0.0528650774223831,-0.0958393124733108
"count_countryJ",-1.00165800088686,-17.1701470845803,-0.521180492403926
"count_eye.colourBLUE",NA,NA,0.8043242726054
"count_eye.colourBROWN",NA,NA,0.298160858869732
"count_eye.colourN/A",NA,NA,0.820043783669559
"count_I(abs(mucus.viscosity - 0.75) < 0.25)TRUE",-0.717977750137181,-0.666344339056956,-0.596003150286264
"count_log(duration)",0.744457008330344,1.37293357432943,1.06381262781968
"count_mucus.viscosity",-0.031993243618505,NA,-0.144321507244873
"count_previous.year",0.407925507253453,0.281230450746248,0.296714285117771
"count_tissue.useHIGH",-0.360664746456614,-0.305771413967279,0.331886085796042
"zero_(Intercept)",22.369248452586,-7.70040857029895,-7.51940003950956
"zero_armACTIVE",1.02133029551562,-0.52377520796143,-0.389345420890957
"zero_countryB",19.2658615245611,-0.672197525729301,-0.986047427373314
"zero_countryC",26.9220451056755,-0.910730900498108,-0.991921023701289
"zero_countryD",14.1052174242151,-1.37865394501018,-1.45769238233042
"zero_countryE",17.8610116203688,-0.215091226629007,-0.384984947121498
"zero_countryF",16.0376020911482,0.418366801522603,0.0994384413351142
"zero_countryG",17.8142262926614,-0.33948118596844,-0.575637294979478
"zero_countryH",18.2957256581708,-1.49254420585878,-1.66191743832942
"zero_countryI",13.4919782442911,-0.604013082208352,-0.0958393124733108
"zero_countryJ",8.52301437430826,-0.0806754793417378,-0.521180492403926
"zero_eye.colourBLUE",-20.6087020617302,1.3743957701212,0.8043242726054
"zero_eye.colourBROWN",-15.820030334542,1.16029867027992,0.298160858869732
"zero_eye.colourN/A",-18.4392731545879,1.32405145394218,0.820043783669559
"zero_I(abs(mucus.viscosity - 0.75) < 0.25)TRUE",NA,-0.624058338009845,-0.596003150286264
"zero_log(duration)",-4.37864562952431,0.938871771861932,1.06381262781968
"zero_mucus.viscosity",1.41672661804976,-0.193881750914531,-0.144321507244873
"zero_previous.year",1.52902799049962,0.342432435440889,0.296714285117771
"zero_tissue.useHIGH",-18.3229718232795,0.768002163656702,0.331886085796042
"AIC",742.170538371661,753.106924699734,771.594526580873
